"site"	"air_mean_temp"	"alt"	"slope_per"	"din"	"ppo4"	"tmean"	"DOmean"	"flow_vel"	"discharge"	"NDVI100m"	"algal.production"	"GPP.mle"	"ER.mle"	"K600_hyd"	"pCH4"	"pCO2"	"FCH4.h"	"FCO2.h"	"do.def"	"ch4co2_ratio"	"pceq"	"perCH4"	"NEP.mle"	"co2per"	"rip_open"
"12"	"site12"	0.109310673977873	-1.03907386442461	-0.695020376528794	0.682175090764853	-0.246164579226478	-0.478009217567347	0.740117598301962	1.1440535912187	0.603502632465688	-1.06856399577837	0.586969555517584	0.285194702636612	0.901417852691356	0.110854853749815	-0.342796168225842	-0.414402319631441	0.0575051640069185	0.0976528281935985	0.0748833516528615	-0.108623312416709	-0.546154871347649	-0.175726740929046	-1.05046802212125	-0.515259167864672	1.00127051611191
"13"	"site13"	-0.283597864461904	1.99652168139637	-0.695020376528794	-0.684315300044731	-0.176231460128047	0.0199170507319726	-0.847042036882833	-1.71115784826864	0.194476438778655	1.18080987618766	0.13242020005977	-0.196396904054342	-0.237105996045848	-1.19994668845802	1.08248171694238	0.800215251144749	-0.277040777985582	-0.197613601207502	0.685225829430222	0.254668628810117	0.597289482937466	0.200546408474887	0.0983596654443456	0.832593073974653	-1.06236271747318
"14"	"site14"	-0.283597864461904	1.88822841777734	-0.858341091639999	-0.719979974033002	-0.351064257874125	-0.401405176290528	-0.178764295752392	1.43776865398536	1.17848582815432	1.14134717667948	0.515696745505552	0.817990293017603	0.788416623555826	-0.0515302564344789	0.58509096736677	-0.291740664426838	0.745116507641122	0.107505791649173	0.237751812270417	0.908502045708232	-0.371159457408138	0.91226401500911	-0.7119153511859	-0.219704986534112	-1.03281078290142
"15"	"site15"	-1.09287216751697	-0.714194073567512	-0.422819184676786	-0.491453148374026	0.155950855589502	1.20727969052266	0.489513445378047	0.0660981820252144	1.3039330169341	-0.279310005614848	0.257637414983501	0.944504493647204	0.331181665660516	-0.340148360985043	-0.528729892317394	-2.08486576277078	-0.313521910465638	-5.49599557682688	-1.02459042927482	1.71411917452367	-1.13733273197351	1.82044621273466	0.212706407958567	-1.82750242866458	0.014394086539585
"16"	"site16"	-0.0695506756103836	-1.03568969993651	-0.695020376528794	1.35850753761034	-0.359805897761429	0.364635236477656	-0.429368448676308	-1.82290288037036	0.119407285838805	-0.871250498237486	0.704403079416079	1.0965868363203	0.845708275731379	-1.21783954626346	0.58509096736677	0.410677220282751	-1.24935526303318	-0.504945566130303	0.832574490307969	0.0873533212863682	0.129507180056261	0.0251434509151188	-0.566065805285238	0.411768860181805	0.658488262535197
"17"	"site17"	-0.0607542157945685	0.20968283168235	1.88181757300355	-0.753875584774482	-0.386030817423341	1.16897766988425	-0.0952295781110876	-0.867331167142361	0.502571256913435	0.904570979630428	-0.606477809445797	0.573795933529392	0.620715469627038	0.426365338835974	-0.695053276150167	-0.928651025474987	-0.0446833455754229	-0.14115443803816	-0.0856966862552525	0.0219680893446078	-0.812190195499798	-0.042454775063468	-0.62747261467978	-0.758290964707472	-0.860745649422099
"18"	"site18"	-0.565084578568012	-0.666815770734186	-0.894634583886933	1.22232302115574	0.17343413536411	1.28388373179948	-1.18118090744805	1.97625440213318	1.12302580712686	0.707257482089549	1.67977499601191	1.88633271411989	2.18330118420351	0.35156507204667	1.83683035155557	0.532913632094534	2.03542498711116	0.781159929632097	1.0173118200671	1.6727887747897	0.529511802976604	1.77356924007148	-1.94197299727203	0.70268723781958	-0.721588025945386
"19"	"site19"	-0.606134724375153	-0.406235105150892	-1.0216618067512	0.865778592921142	-0.281131138775694	-0.401405176290528	-0.679972601600223	-0.720821070123992	-1.66112709223277	-0.989638596762014	1.22492683395958	NA	NA	-1.22059410874466	-0.785284239286765	1.59746921935584	-2.04626670719693	0.0666064108148064	1.05090658762289	-1.88237954307802	1.46994032960984	-1.64925975669616	1.59165672942674	1.44096230548069	0.848844872580605
"20"	"site20"	0.508083518961526	0.45334267482517	-0.259498469565581	0.307669211770582	-0.281131138775694	-1.20574760969712	1.07425646886718	0.208306227917882	1.04030719903624	0.391555886024142	0.0277144865871542	-0.436010237473999	0.40039843903646	-0.0303080399897023	-1.14919167381708	-0.873971632478241	-1.10959428878675	-0.301358321259068	-0.828150179397935	-0.506291192631514	-0.816631166729683	-0.565288538533805	-0.644384607294167	-0.955081861141927	-0.49998617674809
"21"	"site21"	0.704537788181413	-0.345320144365187	-0.223204977318647	0.583229506324371	-0.31609769832491	-0.0566869905448455	0.489513445378047	1.3695276924146	0.402514337229297	-1.06856399577837	0.492468615762379	0.185735119036506	0.156198137416396	1.40065409569671	-0.609702106976769	-0.349995147990355	0.361767426899181	0.505110698390379	-0.0771500780378315	-0.44673457431445	-0.53156310873517	-0.508657782179087	-0.22490253477013	-0.412027697266366	1.00127051611191
"22"	"site22"	-0.702895782349127	1.25200549401553	2.37177971833716	-2.41723018138631	-0.386030817423341	-1.43555973352758	1.15779118650849	-0.898422328368645	-1.093335165104	1.02295907815496	-0.506035312200456	-1.11604144295646	-1.84042167478754	0.589198924107332	-1.14919167381708	-1.0867137628195	-0.806965695858139	-0.301275791783813	-2.10475717218212	-0.312626764832328	-0.899212084123494	-0.378844404405106	1.67731534243055	-1.14441727996665	-0.945809327574725
